1,Becker ,51,Atalaya ,101,Honeywood 183-204,151,Flannigan,,
2,Frendship,52,Pixie ,102,Mimosa,152,Narran,,
3,Glamour,53,Yakka ,103,Cascade,153,Mandogalup,,
4,Vivid,54,Cycad ,104,Barakee,154,Clementi,,
5,Admiration ,55,Turnix ,105,Bindarri 62-98,155,Norkett,,
6,Throsby,56,Cassoway 17-1 ,106,Tarong Way,,,,
7,Brilliant,57,Darling ,107,Littabella St,,,,
8,Thrive,58,Ironcap ,108,Willandra,,,,
9,Lucent,59,Silky ,109,Magnetic,,,,
10,Strength,60,Cordata20-2 ,110,Woko,,,,
11,Glitter,61,Needlewood ,111,Lyon (odd413-459),,,,
12,Ovens,62,Tiliqua ,112,Rowley ,,,,
13,Dazzling,63,Honeywood 14 school ,113,Britton,,,,
14,Restful,64,Litoria ,114,Satinover,,,,
15,Magnificent,65,Mornington ,115,Wandi,,,,
16,Tasman,66,Idalia ,116,Brooks,,,,
17,Quatermaine 125-166,67,Mariala ,117,The Horseshoe,,,,
18,Warburton,68,Brampton ,118,Bodeman 223-164,,,,
19,Ferdinand 45-49,69,Burrowa ,119,Valle,,,,
20,McMillan,70,Cania,120,Stefanelli,,,,
21,Townshend 83-66,71,Wallarah ,121,De Haer,,,,
22,Dampier,72,Litchfield ,122,Robinson,,,,
23,Wynford,73,Addis ,123,Holmes,,,,
24,Ainsworth,74,Ewens ,124,Parker,,,,
25,Windich,75,Luna ,125,Buckle,,,,
26,Quatermaine 116-78,76,Drysdale ,126,Freckleton,,,,
27,Quatermaine 38-6,77,Lomond ,127,Leslie,,,,
28,Janszoon,78,Hartz ,128,Frayne,,,,
29,Wylie,79,Wirra ,129,Magenup,,,,
30,Withnell,80,Honeywood 80-56 65-99 ,130,Miles,,,,
31,Townshend 3-32,81,Honeywood 94-90 ,131,Ara Cone,,,,
32,Haddleton,82,Morwell ,132,Sherwin,,,,
33,Howitt,83,Lyon 529-454 ,133,Casella,,,,
34,Gosse,84,Bodeman 2-133 ,134,Lyon 665-575,,,,
35,Horrocks,85,Bruny ,135,Blackboy,,,,
36,Goldwyer,86,Fortis ,136,Jarrah,,,,
37,Dawes,87,Labatt ,137,Scovell,,,,
38,Kenby ,88,Mirima ,138,Lill,,,,
39,Waratah,89,Honeywood 138-109,139,Miyak,,,,
40,Foxtail,90,Davenport ,140,Battersby,,,,
41,Tawny,91,Uluru ,141,Treeby,,,,
42,Aqulia ,92,Apostles ,142,Broadwater,,,,
43,Coomallo ,93,Goldfield ,143,Tabourie,,,,
44,kentia ,94,Paroo ,144,Ballard,,,,
45,Sida ,95,Honeywood 155-180 ,145,Banney,,,,
46,Saltbush ,96,Canunda ,146,Goran,,,,
47,Napine ,97,Bindarri 1-60 ,147,Seppings,,,,
48,Galah ,98,Rocky Rd,148,Halbert,,,,
49,Cassoway 42-21 ,99,Towarri,149,Selina,,,,
50,Cordata103-129 ,100,Geikie,150,Albina,,,,
,,,,,,,,,
